time;flags;procId;fpStatus;refAs;refAlt;fpItemId
793,728;0;0;3;90;150;1
794,227;0;0;3;90;150;1
794,726;0;0;3;90;150;1
795,225;0;0;3;90;150;1
795,724;0;0;3;90;150;1
796,224;0;0;3;90;150;1
796,723;0;0;3;90;150;1
797,222;0;0;3;90;150;1
797,721;0;0;3;90;150;1
798,22;0;0;3;90;150;1
798,72;0;0;3;90;150;1
799,219;0;0;3;90;150;1
799,718;0;0;3;90;150;1
800,217;0;0;3;90;150;1
800,716;0;0;3;90;150;1
801,216;0;0;3;90;150;1
801,715;0;0;3;90;150;1
802,214;0;0;3;90;150;1
802,713;0;0;3;90;150;1
803,212;0;0;3;90;150;1
803,712;0;0;3;90;150;1
804,211;0;0;3;90;150;1
804,71;0;0;3;90;150;1
805,209;0;0;3;90;150;1
805,708;0;0;3;90;150;1
806,208;0;0;3;90;150;1
806,707;0;0;3;90;150;1
807,206;0;0;3;90;150;1
807,705;0;0;3;90;150;1
808,204;0;0;3;90;150;1
808,704;0;0;3;90;150;1
809,203;0;0;3;90;150;1
809,702;0;0;3;90;150;1
810,201;0;0;3;90;150;1
810,7;0;0;3;90;150;1
811,2;0;0;3;90;150;1
811,699;0;0;3;90;150;1
812,198;0;0;3;90;150;1
812,697;0;0;3;90;150;1
813,196;0;0;3;90;150;1
813,696;0;0;3;90;150;1
814,195;0;0;3;90;150;1
814,694;0;0;3;90;150;1
815,193;0;0;3;90;150;1
815,692;0;0;3;90;150;1
816,192;0;0;3;90;150;1
816,691;0;0;3;90;150;1
817,19;0;0;3;90;150;1
817,689;0;0;3;90;150;1
818,188;0;0;3;90;150;1
818,688;0;0;3;90;150;1
819,187;0;0;3;90;150;1
819,686;0;0;3;90;150;1
820,185;0;0;3;90;150;1
820,684;0;0;3;90;150;1
821,184;0;0;3;90;150;1
821,683;0;0;3;90;150;1
822,182;0;0;3;90;150;1
822,681;0;0;3;90;150;1
823,18;0;0;3;90;150;1
823,68;0;0;3;90;150;1
824,179;0;0;3;90;150;1
824,678;0;0;3;90;150;1
825,177;0;0;3;90;150;1
825,676;0;0;3;90;150;1
826,176;0;0;3;90;150;1
826,675;0;0;3;90;150;1
827,174;0;0;3;90;150;1
827,673;0;0;3;90;150;1
828,172;0;0;3;90;150;1
828,672;0;0;3;90;150;1
829,171;0;0;3;90;150;1
829,67;0;0;3;90;150;1
830,169;0;0;3;90;150;1
830,668;0;0;3;90;150;1
831,168;0;0;3;90;150;1
831,667;0;0;3;90;150;1
832,166;0;0;3;90;150;1
832,665;0;0;3;90;150;1
833,164;0;0;3;90;150;1
833,664;0;0;3;90;150;1
834,163;0;0;3;90;150;1
834,662;0;0;3;90;150;1
835,161;0;0;3;90;150;1
835,66;0;0;3;90;150;1
836,16;0;0;3;90;150;1
836,659;0;0;3;90;150;1
837,158;0;0;3;90;150;1
837,657;0;0;3;90;150;1
838,156;0;0;3;90;150;1
838,656;0;0;3;90;150;1
839,155;0;0;3;90;150;1
839,654;0;0;3;90;150;1
840,153;0;0;3;90;150;1
840,652;0;0;3;90;150;1
841,152;0;0;3;90;150;1
841,651;0;0;3;90;150;1
842,15;0;0;3;90;150;1
842,649;0;0;3;90;150;1
843,148;0;0;3;90;150;1
843,648;0;0;3;90;150;1
844,147;0;0;3;90;150;1
844,646;0;0;3;90;150;1
845,145;0;0;3;90;150;1
845,644;0;0;3;90;150;1
846,144;0;0;3;90;150;1
846,643;0;0;3;90;150;1
847,142;0;0;3;90;150;1
847,641;0;0;3;90;150;1
848,14;0;0;3;90;150;1
848,64;0;0;3;90;150;1
849,139;0;0;3;90;150;1
849,638;0;0;3;90;150;1
850,137;0;0;3;90;150;1
850,636;0;0;3;90;150;1
851,136;0;0;3;90;150;1
851,635;0;0;3;90;150;1
852,134;0;0;3;90;150;1
852,633;0;0;3;90;150;1
853,132;0;0;3;90;150;1
853,632;0;0;3;90;150;1
854,131;0;0;3;90;150;1
854,63;0;0;3;90;150;1
855,129;0;0;3;90;150;1
855,628;0;0;3;90;150;1
856,128;0;0;3;90;150;1
856,627;0;0;3;90;150;1
857,126;0;0;3;90;150;1
857,625;0;0;3;90;150;1
858,124;0;0;3;90;150;1
858,624;0;0;3;90;150;1
859,123;0;0;3;90;150;1
859,622;0;0;3;90;150;1
860,121;0;0;3;90;150;1
860,62;0;0;3;90;150;1
861,12;0;0;3;90;150;1
861,619;0;0;3;90;150;1
862,118;0;0;3;90;150;1
862,617;0;0;3;90;150;1
863,116;0;0;3;90;150;1
863,616;0;0;3;90;150;1
864,115;0;0;3;90;150;1
864,614;0;0;3;90;150;1
865,113;0;0;3;90;150;1
865,612;0;0;3;90;150;1
866,112;0;0;3;90;150;1
866,611;0;0;3;90;150;1
867,11;0;0;3;90;150;1
867,609;0;0;3;90;150;1
868,108;0;0;3;90;150;1
868,608;0;0;3;90;150;1
869,107;0;0;3;90;150;1
869,606;0;0;3;90;150;1
870,105;0;0;3;90;150;1
870,604;0;0;3;90;150;1
871,104;0;0;3;90;150;1
871,603;0;0;3;90;150;1
872,102;0;0;3;90;150;1
872,601;0;0;3;90;150;1
873,1;0;0;3;90;150;1
873,6;0;0;3;90;150;1
874,099;0;0;3;90;150;1
874,598;0;0;3;90;150;1
875,097;0;0;3;90;150;1
875,596;0;0;3;90;150;1
876,096;0;0;3;90;150;1
876,595;0;0;3;90;150;1
877,094;0;0;3;90;150;1
